txn_dt,menu_article,units_moved,batch_yield,unit_cost_rm,markdown_rate,meteo,calendar_dow
2025-09-05,Chicken Focaccia,47,53,18.0,0,Sunny,Friday
2025-09-06,Chicken Focaccia,72,85,18.0,0,Sunny,Saturday
2025-09-07,Chicken Focaccia,60,66,18.0,0,Sunny,Sunday
2025-09-11,Chicken Focaccia,34,41,18.0,0,Cloudy,Thursday
2025-09-12,Chicken Focaccia,38,46,18.0,0,Sunny,Friday
2025-09-13,Chicken Focaccia,41,49,18.0,0,Cloudy,Saturday
2025-09-14,Chicken Focaccia,39,43,18.0,0,Cloudy,Sunday
2025-09-18,Chicken Focaccia,29,32,18.0,0,Cloudy,Thursday
2025-09-19,Chicken Focaccia,42,49,18.0,15,Cloudy,Friday
2025-09-20,Chicken Focaccia,53,62,18.0,0,Cloudy,Saturday
2025-09-21,Chicken Focaccia,59,70,18.0,0,Sunny,Sunday
2025-09-25,Chicken Focaccia,35,41,18.0,0,Rainy,Thursday
2025-09-26,Chicken Focaccia,48,57,18.0,0,Sunny,Friday
2025-09-27,Chicken Focaccia,38,45,18.0,0,Cloudy,Saturday
2025-09-28,Chicken Focaccia,47,55,18.0,0,Cloudy,Sunday
2025-10-02,Chicken Focaccia,38,43,18.0,0,Cloudy,Thursday
2025-10-03,Chicken Focaccia,45,54,18.0,0,Cloudy,Friday
2025-10-04,Chicken Focaccia,52,59,18.0,10,Rainy,Saturday
2025-10-05,Chicken Focaccia,60,72,18.0,0,Sunny,Sunday
2025-10-09,Chicken Focaccia,39,44,18.0,0,Sunny,Thursday
2025-10-10,Chicken Focaccia,47,53,18.0,0,Sunny,Friday
2025-10-11,Chicken Focaccia,70,83,18.0,0,Sunny,Saturday
2025-10-12,Chicken Focaccia,52,62,18.0,0,Rainy,Sunday
2025-10-16,Chicken Focaccia,30,34,18.0,0,Cloudy,Thursday
2025-10-17,Chicken Focaccia,51,60,18.0,0,Sunny,Friday
2025-10-18,Chicken Focaccia,58,64,18.0,0,Rainy,Saturday
2025-10-19,Chicken Focaccia,66,76,18.0,0,Sunny,Sunday
2025-10-23,Chicken Focaccia,32,39,18.0,0,Rainy,Thursday
2025-10-24,Chicken Focaccia,47,55,18.0,0,Cloudy,Friday
2025-10-25,Chicken Focaccia,75,85,18.0,0,Sunny,Saturday
2025-10-26,Chicken Focaccia,66,76,18.0,0,Cloudy,Sunday
2025-10-30,Chicken Focaccia,29,33,18.0,0,Rainy,Thursday
2025-10-31,Chicken Focaccia,44,53,18.0,0,Sunny,Friday
2025-11-01,Chicken Focaccia,79,87,18.0,10,Sunny,Saturday
2025-11-02,Chicken Focaccia,55,62,18.0,0,Rainy,Sunday
2025-11-06,Chicken Focaccia,30,34,18.0,0,Rainy,Thursday
2025-11-07,Chicken Focaccia,57,64,18.0,25,Cloudy,Friday
2025-11-08,Chicken Focaccia,39,47,18.0,0,Rainy,Saturday
2025-11-09,Chicken Focaccia,47,56,18.0,0,Sunny,Sunday
2025-11-13,Chicken Focaccia,28,34,18.0,0,Sunny,Thursday
2025-11-14,Chicken Focaccia,45,49,18.0,0,Sunny,Friday
2025-11-15,Chicken Focaccia,64,74,18.0,0,Sunny,Saturday
2025-11-16,Chicken Focaccia,73,88,18.0,25,Cloudy,Sunday
2025-11-20,Chicken Focaccia,28,33,18.0,0,Rainy,Thursday
2025-11-21,Chicken Focaccia,63,76,18.0,15,Sunny,Friday
2025-11-22,Chicken Focaccia,57,67,18.0,0,Sunny,Saturday
2025-11-23,Chicken Focaccia,47,54,18.0,0,Sunny,Sunday
2025-11-27,Chicken Focaccia,23,27,18.0,0,Rainy,Thursday
2025-11-28,Chicken Focaccia,40,46,18.0,0,Cloudy,Friday
2025-11-29,Chicken Focaccia,48,55,18.0,0,Rainy,Saturday
2025-11-30,Chicken Focaccia,63,70,18.0,0,Sunny,Sunday
2025-12-04,Chicken Focaccia,49,60,18.0,15,Sunny,Thursday
2025-12-05,Chicken Focaccia,44,49,18.0,0,Sunny,Friday
2025-12-06,Chicken Focaccia,49,58,18.0,0,Rainy,Saturday
2025-12-07,Chicken Focaccia,74,86,18.0,20,Sunny,Sunday
2025-12-11,Chicken Focaccia,33,36,18.0,0,Sunny,Thursday
2025-12-12,Chicken Focaccia,46,52,18.0,0,Sunny,Friday
2025-12-13,Chicken Focaccia,65,74,18.0,0,Sunny,Saturday
2025-12-14,Chicken Focaccia,68,79,18.0,25,Sunny,Sunday
2025-12-18,Chicken Focaccia,31,36,18.0,0,Sunny,Thursday
2025-12-19,Chicken Focaccia,46,52,18.0,0,Cloudy,Friday
2025-12-20,Chicken Focaccia,66,74,18.0,0,Sunny,Saturday
2025-12-21,Chicken Focaccia,58,64,18.0,0,Sunny,Sunday
2025-12-25,Chicken Focaccia,44,50,18.0,0,Sunny,Thursday
2025-12-26,Chicken Focaccia,50,59,18.0,0,Rainy,Friday
2025-12-27,Chicken Focaccia,50,60,18.0,0,Cloudy,Saturday
2025-12-28,Chicken Focaccia,67,74,18.0,0,Sunny,Sunday
2026-01-01,Chicken Focaccia,55,67,18.0,15,Cloudy,Thursday
2026-01-02,Chicken Focaccia,38,46,18.0,0,Rainy,Friday
2026-01-03,Chicken Focaccia,44,54,18.0,0,Cloudy,Saturday
2026-01-04,Chicken Focaccia,50,61,18.0,0,Cloudy,Sunday
2026-01-08,Chicken Focaccia,30,35,18.0,0,Cloudy,Thursday
2026-01-09,Chicken Focaccia,36,43,18.0,0,Sunny,Friday
2026-01-10,Chicken Focaccia,55,64,18.0,0,Sunny,Saturday
2026-01-11,Chicken Focaccia,54,60,18.0,0,Sunny,Sunday
2026-01-15,Chicken Focaccia,36,43,18.0,0,Sunny,Thursday
2026-01-16,Chicken Focaccia,47,55,18.0,0,Sunny,Friday
2026-01-17,Chicken Focaccia,74,83,18.0,25,Sunny,Saturday
2026-01-18,Chicken Focaccia,44,53,18.0,0,Sunny,Sunday
2026-01-22,Chicken Focaccia,29,36,18.0,0,Sunny,Thursday
2026-01-23,Chicken Focaccia,42,49,18.0,0,Rainy,Friday
2026-01-24,Chicken Focaccia,46,55,18.0,0,Cloudy,Saturday
2026-01-25,Chicken Focaccia,34,41,18.0,0,Cloudy,Sunday
2026-01-29,Chicken Focaccia,31,37,18.0,0,Sunny,Thursday
2026-01-30,Chicken Focaccia,59,71,18.0,20,Sunny,Friday
2026-01-31,Chicken Focaccia,63,75,18.0,0,Sunny,Saturday
2026-02-01,Chicken Focaccia,56,62,18.0,0,Cloudy,Sunday
2026-02-05,Chicken Focaccia,29,34,18.0,0,Cloudy,Thursday
2026-02-06,Chicken Focaccia,38,45,18.0,0,Cloudy,Friday
2026-02-07,Chicken Focaccia,43,52,18.0,0,Cloudy,Saturday
2026-02-08,Chicken Focaccia,52,62,18.0,0,Sunny,Sunday
2026-02-12,Chicken Focaccia,55,66,18.0,0,Sunny,Thursday
2026-02-13,Chicken Focaccia,71,84,18.0,0,Cloudy,Friday
2026-02-14,Chicken Focaccia,85,101,18.0,0,Sunny,Saturday
2026-02-15,Chicken Focaccia,61,73,18.0,15,Cloudy,Sunday
2026-02-19,Chicken Focaccia,36,40,18.0,10,Sunny,Thursday
2026-02-20,Chicken Focaccia,45,49,18.0,0,Sunny,Friday
2026-02-21,Chicken Focaccia,59,71,18.0,0,Sunny,Saturday
2026-02-22,Chicken Focaccia,57,65,18.0,0,Cloudy,Sunday
2026-02-26,Chicken Focaccia,36,43,18.0,0,Cloudy,Thursday
2026-02-27,Chicken Focaccia,49,57,18.0,0,Sunny,Friday
2026-02-28,Chicken Focaccia,59,67,18.0,0,Cloudy,Saturday
2026-03-01,Chicken Focaccia,66,81,18.0,20,Cloudy,Sunday
2026-03-05,Chicken Focaccia,30,35,18.0,0,Cloudy,Thursday
2026-03-06,Chicken Focaccia,62,73,18.0,20,Sunny,Friday
2026-03-07,Chicken Focaccia,65,75,18.0,0,Sunny,Saturday
2026-03-08,Chicken Focaccia,46,51,18.0,0,Cloudy,Sunday
2026-03-12,Chicken Focaccia,32,36,18.0,0,Sunny,Thursday
2026-03-13,Chicken Focaccia,42,50,18.0,0,Rainy,Friday
2026-03-14,Chicken Focaccia,65,77,18.0,0,Sunny,Saturday
2026-03-15,Chicken Focaccia,61,70,18.0,0,Sunny,Sunday
2026-03-19,Chicken Focaccia,40,45,18.0,0,Cloudy,Thursday
2026-03-20,Chicken Focaccia,50,60,18.0,0,Cloudy,Friday
2026-03-21,Chicken Focaccia,53,59,18.0,0,Rainy,Saturday
2026-03-22,Chicken Focaccia,63,75,18.0,0,Sunny,Sunday
2026-03-26,Chicken Focaccia,40,45,18.0,0,Sunny,Thursday
2026-03-27,Chicken Focaccia,54,64,18.0,0,Cloudy,Friday
2026-03-28,Chicken Focaccia,67,74,18.0,0,Sunny,Saturday
2026-03-29,Chicken Focaccia,68,78,18.0,0,Cloudy,Sunday
2026-04-02,Chicken Focaccia,49,60,18.0,0,Cloudy,Thursday
2026-04-03,Chicken Focaccia,47,56,18.0,0,Rainy,Friday
2026-04-04,Chicken Focaccia,82,95,18.0,0,Sunny,Saturday
2026-04-05,Chicken Focaccia,72,79,18.0,0,Rainy,Sunday
2026-04-09,Chicken Focaccia,52,63,18.0,0,Sunny,Thursday
2026-04-10,Chicken Focaccia,52,58,18.0,0,Sunny,Friday
2026-04-11,Chicken Focaccia,68,76,18.0,0,Sunny,Saturday
2026-04-12,Chicken Focaccia,59,71,18.0,0,Cloudy,Sunday
2026-04-16,Chicken Focaccia,53,61,18.0,15,Sunny,Thursday
2026-04-17,Chicken Focaccia,49,54,18.0,0,Sunny,Friday
2026-04-18,Chicken Focaccia,69,81,18.0,0,Cloudy,Saturday
2026-04-19,Chicken Focaccia,80,90,18.0,20,Cloudy,Sunday
2026-04-23,Chicken Focaccia,45,54,18.0,0,Sunny,Thursday
2026-04-24,Chicken Focaccia,75,89,18.0,25,Cloudy,Friday
2026-04-25,Chicken Focaccia,83,101,18.0,20,Sunny,Saturday
2026-04-26,Chicken Focaccia,50,55,18.0,0,Sunny,Sunday
2026-04-30,Chicken Focaccia,35,40,18.0,0,Sunny,Thursday
2026-05-01,Chicken Focaccia,46,55,18.0,0,Rainy,Friday
2026-05-02,Chicken Focaccia,66,78,18.0,0,Sunny,Saturday
2026-05-03,Chicken Focaccia,54,59,18.0,15,Rainy,Sunday
2026-05-07,Chicken Focaccia,30,34,18.0,0,Sunny,Thursday
2026-05-08,Chicken Focaccia,48,57,18.0,0,Sunny,Friday
2026-05-09,Chicken Focaccia,66,73,18.0,0,Cloudy,Saturday
2026-05-10,Chicken Focaccia,73,86,18.0,0,Sunny,Sunday
2026-05-14,Chicken Focaccia,29,35,18.0,0,Rainy,Thursday
2026-05-15,Chicken Focaccia,56,68,18.0,0,Sunny,Friday
2026-05-16,Chicken Focaccia,76,85,18.0,0,Sunny,Saturday
2026-05-17,Chicken Focaccia,70,82,18.0,0,Sunny,Sunday
2025-01-02,Beef Focaccia,22,24,19.0,0,Sunny,Thursday
2025-01-03,Beef Focaccia,25,28,19.0,0,Sunny,Friday
2025-01-04,Beef Focaccia,32,38,19.0,0,Rainy,Saturday
2025-01-05,Beef Focaccia,39,46,19.0,0,Sunny,Sunday
2025-01-09,Beef Focaccia,23,26,19.0,0,Sunny,Thursday
2025-01-10,Beef Focaccia,21,26,19.0,0,Rainy,Friday
2025-01-11,Beef Focaccia,33,37,19.0,0,Sunny,Saturday
2025-01-12,Beef Focaccia,19,22,19.0,0,Rainy,Sunday
2025-01-16,Beef Focaccia,15,18,19.0,0,Cloudy,Thursday
2025-01-17,Beef Focaccia,31,37,19.0,0,Cloudy,Friday
2025-01-18,Beef Focaccia,42,49,19.0,20,Sunny,Saturday
2025-01-19,Beef Focaccia,27,31,19.0,0,Sunny,Sunday
2025-01-23,Beef Focaccia,18,21,19.0,0,Sunny,Thursday
2025-01-24,Beef Focaccia,23,27,19.0,0,Rainy,Friday
2025-01-25,Beef Focaccia,37,43,19.0,0,Sunny,Saturday
2025-01-26,Beef Focaccia,34,38,19.0,0,Sunny,Sunday
2025-01-30,Beef Focaccia,33,39,19.0,10,Cloudy,Thursday
2025-01-31,Beef Focaccia,26,29,19.0,0,Sunny,Friday
2025-02-01,Beef Focaccia,40,44,19.0,25,Cloudy,Saturday
2025-02-02,Beef Focaccia,26,30,19.0,0,Rainy,Sunday
2025-02-06,Beef Focaccia,20,23,19.0,0,Sunny,Thursday
2025-02-07,Beef Focaccia,25,28,19.0,0,Sunny,Friday
2025-02-08,Beef Focaccia,34,41,19.0,0,Sunny,Saturday
2025-02-09,Beef Focaccia,33,39,19.0,10,Cloudy,Sunday
2025-02-13,Beef Focaccia,36,40,19.0,15,Sunny,Thursday
2025-02-14,Beef Focaccia,32,37,19.0,0,Rainy,Friday
2025-02-15,Beef Focaccia,35,39,19.0,0,Sunny,Saturday
2025-02-16,Beef Focaccia,35,42,19.0,0,Sunny,Sunday
2025-02-20,Beef Focaccia,23,26,19.0,0,Sunny,Thursday
2025-02-21,Beef Focaccia,29,33,19.0,0,Cloudy,Friday
2025-02-22,Beef Focaccia,29,33,19.0,0,Rainy,Saturday
2025-02-23,Beef Focaccia,37,42,19.0,10,Cloudy,Sunday
2025-02-27,Beef Focaccia,31,34,19.0,25,Cloudy,Thursday
2025-02-28,Beef Focaccia,26,30,19.0,0,Sunny,Friday
2025-03-01,Beef Focaccia,38,42,19.0,0,Sunny,Saturday
2025-03-02,Beef Focaccia,43,51,19.0,0,Sunny,Sunday
2025-03-06,Beef Focaccia,21,25,19.0,0,Cloudy,Thursday
2025-03-07,Beef Focaccia,28,32,19.0,0,Sunny,Friday
2025-03-08,Beef Focaccia,39,42,19.0,10,Sunny,Saturday
2025-03-09,Beef Focaccia,33,39,19.0,0,Sunny,Sunday
2025-03-13,Beef Focaccia,19,22,19.0,0,Rainy,Thursday
2025-03-14,Beef Focaccia,32,36,19.0,0,Sunny,Friday
2025-03-15,Beef Focaccia,37,44,19.0,0,Sunny,Saturday
2025-03-16,Beef Focaccia,35,39,19.0,0,Sunny,Sunday
2025-03-20,Beef Focaccia,32,36,19.0,25,Sunny,Thursday
2025-03-21,Beef Focaccia,29,34,19.0,0,Sunny,Friday
2025-03-22,Beef Focaccia,36,42,19.0,0,Cloudy,Saturday
2025-03-23,Beef Focaccia,37,42,19.0,10,Cloudy,Sunday
2025-03-27,Beef Focaccia,16,18,19.0,0,Rainy,Thursday
2025-03-28,Beef Focaccia,27,30,19.0,0,Sunny,Friday
2025-03-29,Beef Focaccia,49,55,19.0,0,Sunny,Saturday
2025-03-30,Beef Focaccia,26,30,19.0,0,Rainy,Sunday
2025-04-03,Beef Focaccia,22,27,19.0,0,Sunny,Thursday
2025-04-04,Beef Focaccia,30,37,19.0,0,Sunny,Friday
2025-04-05,Beef Focaccia,37,43,19.0,0,Sunny,Saturday
2025-04-06,Beef Focaccia,40,47,19.0,15,Cloudy,Sunday
2025-04-10,Beef Focaccia,21,24,19.0,0,Rainy,Thursday
2025-04-11,Beef Focaccia,33,40,19.0,0,Sunny,Friday
2025-04-12,Beef Focaccia,64,74,19.0,25,Sunny,Saturday
2025-04-13,Beef Focaccia,46,54,19.0,0,Cloudy,Sunday
2025-04-17,Beef Focaccia,26,30,19.0,0,Cloudy,Thursday
2025-04-18,Beef Focaccia,40,46,19.0,20,Cloudy,Friday
2025-04-19,Beef Focaccia,52,63,19.0,15,Cloudy,Saturday
2025-04-20,Beef Focaccia,41,49,19.0,0,Sunny,Sunday
2025-04-24,Beef Focaccia,18,22,19.0,0,Rainy,Thursday
2025-04-25,Beef Focaccia,23,26,19.0,0,Cloudy,Friday
2025-04-26,Beef Focaccia,35,41,19.0,0,Sunny,Saturday
2025-04-27,Beef Focaccia,34,39,19.0,0,Rainy,Sunday
2025-05-01,Beef Focaccia,33,40,19.0,0,Sunny,Thursday
2025-05-02,Beef Focaccia,37,41,19.0,20,Sunny,Friday
2025-05-03,Beef Focaccia,36,40,19.0,0,Cloudy,Saturday
2025-05-04,Beef Focaccia,40,48,19.0,0,Sunny,Sunday
2025-05-08,Beef Focaccia,24,29,19.0,0,Sunny,Thursday
2025-05-09,Beef Focaccia,33,37,19.0,0,Sunny,Friday
2025-05-10,Beef Focaccia,42,47,19.0,0,Sunny,Saturday
2025-05-11,Beef Focaccia,46,55,19.0,0,Cloudy,Sunday
2025-05-15,Beef Focaccia,21,24,19.0,0,Sunny,Thursday
2025-05-16,Beef Focaccia,32,38,19.0,0,Sunny,Friday
2025-05-17,Beef Focaccia,42,50,19.0,0,Cloudy,Saturday
2025-05-18,Beef Focaccia,33,38,19.0,0,Cloudy,Sunday
2025-05-22,Beef Focaccia,21,25,19.0,0,Sunny,Thursday
2025-05-23,Beef Focaccia,21,25,19.0,0,Rainy,Friday
2025-05-24,Beef Focaccia,37,45,19.0,0,Cloudy,Saturday
2025-05-25,Beef Focaccia,33,38,19.0,0,Rainy,Sunday
2025-05-29,Beef Focaccia,34,41,19.0,25,Sunny,Thursday
2025-05-30,Beef Focaccia,34,41,19.0,0,Sunny,Friday
2025-05-31,Beef Focaccia,39,45,19.0,0,Sunny,Saturday
2025-06-01,Beef Focaccia,32,37,19.0,0,Cloudy,Sunday
2025-06-05,Beef Focaccia,19,22,19.0,0,Rainy,Thursday
